ma_hieu,loai_vat_lieu_quy_cach,mac_be_tong,xi_mang_kg,cat_vang_m3,da_dam_m3,nuoc_lit,phu_gia
11.12249,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],600,552,"0,466","0,761",160,poly
11.12271,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],150,191,"0,548","0,893",162,-
11.12272,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],200,227,"0,539","0,880",162,-
11.12273,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],250,265,"0,531","0,866",162,-
11.12274,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],300,301,"0,522","0,852",163,-
11.12275,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],350,338,"0,514","0,838",163,-
11.12276,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],400,368,"0,509",0.830,160,dẻo hóa
11.12277,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],450,408,"0,499","0,815",160,dẻo hóa
11.12278,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],500,456,"0,488","0,797",160,siêu dẻo
11.12279,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],600,535,"0,474","0,773",155,poly
