table_name,TT,Loại công trình,≤ 10,20,50,100,200,500,1.000,2.000,5.000,10.000,20.000,≥ 30.000,≤ 15,≥ 20.000,≤ 1,3,7,15,40,5,10,150,240,Cấp công trình,8.000,≥ 10.000,Công trình,≤ 5,≥ 500,Cấp điện áp,≥ 1.000,25,Chi phí tư vấn (chưa thuế GTGT) (tỷ đồng),Chi phí khảo sát (chưa thuế GTGT) (tỷ đồng),≥ 50
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,60","0,45","0,30",,,,,,,,,,,,,"1,30",,,"1,40",,,,,,Hệ thống truyền dẫn vi ba,"1,70","0,15",,,"0,80",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,65","0,50","0,35",,,,,,,,,,,,,"1,40",,,"1,75",,,,,,Mạng viễn thông nông thôn,"2,80","0,20",,,"0,90",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,40","0,30","0,20",,,,,,,,,,,,,"0,60",,,"0,75",,,,,,"Mạng Internet, voip, thiết bị mạng NGN","1,00","0,10",,,"0,50",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,55","0,35","0,25",,,,,,,,,,,,,"0,85",,,"1,05",,,,,,Hệ thống tiếp đất chống sét (cả thiết bị),"2,15","0,20",,,"0,65",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,70","0,50","0,35",,,,,,,,,,,,,"1,10",,,"1,30",,,,,,Trạm thông tin vệ tinh Vsat,"1,80","0,20",,,"0,90",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,30","0,25","0,20",,,,,,,,,,,,,"0,50",,,"0,70",,,,,,"Thiết bị trạm BTS, CS, điện thoại thẻ","1,25","0,10",,,"0,35",,,
Bảng 2.17: Định mức chi phí thẩm tra báo cáo nghiên cứu tiền khả thi,1,Công trình dân dụng,"0,140","0,119","0,094","0,067","0,049","0,035","0,028","0,022","0,016","0,012","0,009","0,007",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.17: Định mức chi phí thẩm tra báo cáo nghiên cứu tiền khả thi,2,Công trình công nghiệp,"0,158","0,135","0,105","0,076","0,056","0,042","0,033","0,026","0,019","0,015","0,011","0,009",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.17: Định mức chi phí thẩm tra báo cáo nghiên cứu tiền khả thi,3,Công trình giao thông,"0,088","0,076","0,060","0,043","0,031","0,023","0,018","0,014","0,011","0,008","0,006","0,005",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.17: Định mức chi phí thẩm tra báo cáo nghiên cứu tiền khả thi,4,Công trình phục vụ nông nghiệp và MT,"0,119","0,102","0,081","0,057","0,042","0,030","0,024","0,019","0,014","0,011","0,008","0,006",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.17: Định mức chi phí thẩm tra báo cáo nghiên cứu tiền khả thi,5,Công trình hạ tầng kỹ thuật,"0,095","0,081","0,064","0,045","0,033","0,024","0,019","0,015","0,011","0,009","0,007","0,005",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.18: Định mức chi phí thẩm tra báo cáo nghiên cứu khả thi,1,Công trình dân dụng,"0,211","0,188","0,156","0,117","0,094","0,071","0,057","0,047","0,036","0,028","0,020","0,016",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.18: Định mức chi phí thẩm tra báo cáo nghiên cứu khả thi,2,Công trình công nghiệp,"0,237","0,211","0,175","0,132","0,106","0,083","0,067","0,055","0,043","0,034","0,025","0,020",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.18: Định mức chi phí thẩm tra báo cáo nghiên cứu khả thi,3,Công trình giao thông,"0,132","0,118","0,098","0,074","0,059","0,044","0,036","0,029","0,023","0,018","0,013","0,010",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.18: Định mức chi phí thẩm tra báo cáo nghiên cứu khả thi,4,Công trình phục vụ nông nghiệp và MT,"0,179","0,159","0,132","0,100","0,079","0,060","0,048","0,040","0,031","0,024","0,017","0,014",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.18: Định mức chi phí thẩm tra báo cáo nghiên cứu khả thi,5,Công trình hạ tầng kỹ thuật,"0,143","0,127","0,105","0,080","0,063","0,047","0,038","0,031","0,024","0,019","0,014","0,011",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.19: Định mức chi phí thẩm tra thiết kế xây dựng,1,Công trình dân dụng,"0,422","0,369","0,281","0,237","0,177","0,130","0,108","0,072","0,054",,,,,,,,,,,,,,,,"0,046","0,042",,,,,,,,,
Bảng 2.19: Định mức chi phí thẩm tra thiết kế xây dựng,2,Công trình công nghiệp,"0,475","0,412","0,313","0,238","0,183","0,140","0,105","0,085","0,058",,,,,,,,,,,,,,,,"0,051","0,046",,,,,,,,,
Bảng 2.19: Định mức chi phí thẩm tra thiết kế xây dựng,3,Công trình giao thông,"0,281","0,240","0,179","0,139","0,117","0,088","0,069","0,057","0,035",,,,,,,,,,,,,,,,"0,030","0,027",,,,,,,,,
Bảng 2.19: Định mức chi phí thẩm tra thiết kế xây dựng,4,Công trình phục vụ nông nghiệp và MT,"0,310","0,267","0,201","0,156","0,119","0,090","0,068","0,057","0,041",,,,,,,,,,,,,,,,"0,035","0,030",,,,,,,,,
Bảng 2.19: Định mức chi phí thẩm tra thiết kế xây dựng,5,Công trình hạ tầng kỹ thuật,"0,323","0,281","0,217","0,161","0,122","0,095","0,075","0,063","0,044",,,,,,,,,,,,,,,,"0,037","0,034",,,,,,,,,
Bảng 2.20: Định mức chi phí thẩm tra dự toán xây dựng,1,Công trình dân dụng,"0,250","0,219","0,166","0,140","0,105","0,077","0,064","0,043","0,032",,,,,,,,,,,,,,,,"0,027","0,025",,,,,,,,,
Bảng 2.20: Định mức chi phí thẩm tra dự toán xây dựng,2,Công trình công nghiệp,"0,282","0,244","0,185","0,141","0,108","0,083","0,062","0,050","0,034",,,,,,,,,,,,,,,,"0,030","0,027",,,,,,,,,
Bảng 2.20: Định mức chi phí thẩm tra dự toán xây dựng,3,Công trình giao thông,"0,166","0,142","0,106","0,082","0,069","0,052","0,041","0,034","0,021",,,,,,,,,,,,,,,,"0,018","0,016",,,,,,,,,
Bảng 2.20: Định mức chi phí thẩm tra dự toán xây dựng,4,Công trình phục vụ nông nghiệp và MT,"0,183","0,158","0,119","0,092","0,070","0,053","0,040","0,034","0,024",,,,,,,,,,,,,,,,"0,021","0,018",,,,,,,,,
Bảng 2.20: Định mức chi phí thẩm tra dự toán xây dựng,5,Công trình hạ tầng kỹ thuật,"0,191","0,166","0,128","0,095","0,072","0,056","0,044","0,037","0,026",,,,,,,,,,,,,,,,"0,022","0,020",,,,,,,,,
"Bảng 2.21: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu tư vấn",,,,"0,311","0,176","0,114",,,,,,,,,,,"0,816","0,583",,,,"0,505","0,389",,,,,,,,,,,,**Tỷ lệ %**,,
"Bảng 2.22: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu thi công xây dựng",1,Công trình dân dụng,"0,432","0,346","0,195","0,127","0,078","0,057","0,040","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.22: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu thi công xây dựng",2,Công trình công nghiệp,"0,549","0,379","0,211","0,144","0,096","0,067","0,052","0,041",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.22: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu thi công xây dựng",3,Công trình giao thông,"0,346","0,237","0,151","0,090","0,057","0,043","0,029","0,023",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.22: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu thi công xây dựng",4,Công trình phục vụ nông nghiệp và MT,"0,361","0,302","0,166","0,094","0,066","0,046","0,031","0,026",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.22: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu thi công xây dựng",5,Công trình hạ tầng kỹ thuật,"0,388","0,325","0,172","0,106","0,069","0,052","0,038","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.23: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu mua sắm vật tư, thiết bị",1,Công trình dân dụng,"0,367","0,346","0,181","0,113","0,102","0,081","0,055","0,043",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.23: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu mua sắm vật tư, thiết bị",2,Công trình công nghiệp,"0,549","0,494","0,280","0,177","0,152","0,123","0,084","0,066",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.23: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu mua sắm vật tư, thiết bị",3,Công trình giao thông,"0,261","0,230","0,131","0,084","0,074","0,056","0,040","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.23: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu mua sắm vật tư, thiết bị",4,Công trình phục vụ nông nghiệp và MT,"0,281","0,245","0,140","0,090","0,078","0,061","0,050","0,037",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bảng 2.23: Định mức chi phí lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu mua sắm vật tư, thiết bị",5,Công trình hạ tầng kỹ thuật,"0,302","0,260","0,156","0,102","0,087","0,069","0,054","0,041",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.24: Định mức chi phí giám sát thi công xây dựng,1,Công trình dân dụng,"3,285","2,853","2,435","1,845","1,546","1,188","0,797","0,694","0,620",,,,,,,,,,,,,,,,"0,530","0,478",,,,,,,,,
Bảng 2.24: Định mức chi phí giám sát thi công xây dựng,2,Công trình công nghiệp,"3,508","3,137","2,559","2,074","1,604","1,301","0,823","0,716","0,640",,,,,,,,,,,,,,,,"0,550","0,493",,,,,,,,,
Bảng 2.24: Định mức chi phí giám sát thi công xây dựng,3,Công trình giao thông,"3,203","2,700","2,356","1,714","1,272","1,003","0,731","0,636","0,550",,,,,,,,,,,,,,,,"0,480","0,438",,,,,,,,,
Bảng 2.24: Định mức chi phí giám sát thi công xây dựng,4,Công trình phục vụ nông nghiệp và MT,"2,598","2,292","2,075","1,545","1,189","0,950","0,631","0,550","0,490",,,,,,,,,,,,,,,,"0,420","0,378",,,,,,,,,
Bảng 2.24: Định mức chi phí giám sát thi công xây dựng,5,Công trình hạ tầng kỹ thuật,"2,566","2,256","1,984","1,461","1,142","0,912","0,584","0,509","0,452",,,,,,,,,,,,,,,,"0,390","0,350",,,,,,,,,
Bảng 2.25: Định mức chi phí giám sát lắp đặt thiết bị,1,Công trình dân dụng,"0,844","0,715","0,596","0,394","0,305","0,261","0,176","0,153","0,132",,,,,,,,,,,,,,,,"0,112","0,110",,,,,,,,,
Bảng 2.25: Định mức chi phí giám sát lắp đặt thiết bị,2,Công trình công nghiệp,"1,147","1,005","0,958","0,811","0,490","0,422","0,356","0,309","0,270",,,,,,,,,,,,,,,,"0,230","0,210",,,,,,,,,
Bảng 2.25: Định mức chi phí giám sát lắp đặt thiết bị,3,Công trình giao thông,"0,677","0,580","0,486","0,320","0,261","0,217","0,146","0,127","0,110",,,,,,,,,,,,,,,,"0,092","0,085",,,,,,,,,
Bảng 2.25: Định mức chi phí giám sát lắp đặt thiết bị,4,Công trình phục vụ nông nghiệp và MT,"0,718","0,585","0,520","0,344","0,276","0,232","0,159","0,138","0,120",,,,,,,,,,,,,,,,"0,098","0,091",,,,,,,,,
Bảng 2.25: Định mức chi phí giám sát lắp đặt thiết bị,5,Công trình hạ tầng kỹ thuật,"0,803","0,690","0,575","0,383","0,300","0,261","0,173","0,150","0,126",,,,,,,,,,,,,,,,"0,105","0,095",,,,,,,,,
Bảng 2.26: Định mức chi phí giám sát công tác khảo sát xây dựng,,,,"2,707",,,,,,,,,,,,,"4,072",,,,,"3,541","3,079",,,,,,,,,,,,,**Tỷ lệ %**,"2,381"
