table_name,TT,Loại công trình,≤ 10,20,50,100,200,500,1.000,2.000,5.000,10.000,20.000,≥ 30.000,≤ 15,≥ 20.000,≤ 1,3,7,15,40,5,10,150,240,Cấp công trình,8.000,≥ 10.000,Công trình,≤ 5,≥ 500,Cấp điện áp,≥ 1.000,25,Chi phí tư vấn (chưa thuế GTGT) (tỷ đồng),Chi phí khảo sát (chưa thuế GTGT) (tỷ đồng),≥ 50
Bảng 2.4: Định mức chi phí lập báo cáo kinh tế - kỹ thuật,5,Công trình hạ tầng kỹ thuật,,"2,8",,,,,,,,,,,,,"5,8","4,2","3,4","3,0","2,2",,,,,,,,,,,,,,,,
Bảng 2.5: Định mức chi phí lập Báo cáo kinh tế - kỹ thuật,1,Công trình dân dụng,,"2,70","1,98","1,80","1,65",,,,,,,,,,"5,31","3,96",,,,"3,87","3,41","1,73","1,62",,,,,,,,,,,,
Bảng 2.5: Định mức chi phí lập Báo cáo kinh tế - kỹ thuật,2,Công trình công nghiệp,,"3,00","2,03","1,85","1,70",,,,,,,,,,"5,49","4,07",,,,"3,96","3,48","1,77","1,67",,,,,,,,,,,,
Bảng 2.5: Định mức chi phí lập Báo cáo kinh tế - kỹ thuật,3,Công trình giao thông,,"2,49","1,64","1,49","1,31",,,,,,,,,,"4,23","2,88",,,,"2,85","2,58","1,43","1,29",,,,,,,,,,,,
Bảng 2.5: Định mức chi phí lập Báo cáo kinh tế - kỹ thuật,4,Công trình phục vụ nông nghiệp và MT,,"2,75","1,85","1,65","1,49",,,,,,,,,,"4,95","3,60",,,,"3,53","3,12","1,56","1,44",,,,,,,,,,,,
Bảng 2.5: Định mức chi phí lập Báo cáo kinh tế - kỹ thuật,5,Công trình hạ tầng kỹ thuật,,"2,55","1,73","1,56","1,40",,,,,,,,,,"4,37","3,17",,,,"3,09","2,72","1,47","1,37",,,,,,,,,,,,
Bảng 2.6: Định mức chi phí lập Báo cáo kinh tế - kỹ thuật,1,Công trình giao thông,,"1,66","1,09","0,99","0,87",,,,,,,,,,"2,82","1,92",,,,"1,90","1,72","0,95","0,86",,,,,,,,,,,,
Bảng 2.7: Định mức chi phí thiết kế kỹ thuật của công trình dân dụng có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"4,037","3,485","2,987","2,266","1,899","1,459","0,978","0,851","0,761",,,,,,,,,,,,,,,Cấp đặc biệt,"0,650","0,587",,,,,,,,,
Bảng 2.7: Định mức chi phí thiết kế kỹ thuật của công trình dân dụng có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"3,510","3,030","2,597","1,970","1,651","1,269","0,850","0,740","0,662",,,,,,,,,,,,,,,Cấp I,"0,565","0,510",,,,,,,,,
Bảng 2.7: Định mức chi phí thiết kế kỹ thuật của công trình dân dụng có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,984","2,576","2,207","1,675","1,403","1,079","0,723","0,629","0,563",,,,,,,,,,,,,,,Cấp II,"0,480","0,434",,,,,,,,,
