Loại công trình,"Hệ số n tương ứng với chiều rộng B, m — 0,6","Hệ số n tương ứng với chiều rộng B, m — 0,9","Hệ số n tương ứng với chiều rộng B, m — 1,2","Hệ số n tương ứng với chiều rộng B, m — 1,8","Hệ số n tương ứng với chiều rộng B, m — 2,4"
Nhà ở,"1,00","0,82","0,70","0,51","0,41"
Nhà công cộng,"1,05","0,91","0,80","0,62","0,50"
