Loại công trình,"Chiều cao trần, m","Chênh lệch áp suất <sup>1)</sup>, Pa"
1. Không trang bị sprinkler,Bất kỳ,"12,5"
2. Có trang bị sprinkler,"2,745",25
2. Có trang bị sprinkler,"4,575",35
2. Có trang bị sprinkler,"6,405",45
"**<sup>1)</sup> Đối với hệ thống kiểm soát khói theo vùng, chênh lệch áp suất được yêu cầu đo giữa vùng khói và không gian bên cạnh khi mà các khu vực bị ảnh hưởng ở trạng thái kiểm soát khói.**",,
