Cấp độ kín,"Áp suất tĩnh, Pa — dương","Áp suất tĩnh, Pa — âm","Lượng không khí rò lọt cho phép,$m^{3}$ · $s^{-1}$ · $m^{-2}$"
A (áp suất thấp),≤ 500,≤ 500,"0,027 · $p_{t}^{0,65}$ · 10$^{-3}$"
B (áp suất trung bình),≤ 1000,≤ 750,"0,009 · $p_{t}^{0,65}$ · 10$^{-3}$"
C (áp suất cao),≤ 2000,≤ 750,"0,003 · $p_{t}^{0,65}$ · 10$^{-3}$"
D (áp suất cao),≤ 2000,≤ 750,"0,001 · $p_{t}^{0,65}$ · 10$^{-3}$"
