Thông tin,Loại 1,Loại 2,Loại 3,Loại 4,Loại 5
Ký hiệu,Đầu lâu và xương chéo,Đầu lâu và xương chéo,Đầu lâu và xương chéo,Đầu lâu và xương chéo,Không có ký hiệu
Chữ ký hiệu,Nguy hiểm,Nguy hiểm,Nguy hiểm,Cảnh báo,Cảnh báo
Cảnh báo nguy hiểm: - Đường miệng,Gây tử vong nếu nuốt phải,Gây tử vong nếu nuốt phải,Độc hại nếu nuốt phải,Có hại nếu nuốt phải,Có thể có hại nếu nuốt phải
&nbsp;&nbsp;\- Da,Gây tử vong khi tiếp xúc với da,Gây tử vong khi tiếp xúc với da,Độc hại tiếp xúc với da,Có hại khi tiếp xúc với da,Có thể có hại khi tiếp xúc với da
&nbsp;&nbsp;\- Hít phải (xem CHÚ THÍCH),Gây tử vong nếu hít phải,Gây tử vong nếu hít phải,Độc hại nếu hít phải,Có hại nếu hít phải,Có thể có hại nếu hít phải
