Dạng địa hình xây dựng,Giá trị hệ số E
"Vùng đồng bằng, trung du","0,3"
Vùng đồi,"1,0"
Vùng núi cao từ 300 m đến 900 m,"1,3"
Vùng núi cao trên 900 m,"1,7"
