Dạng công năng sử dụng,Giá trị hệ số C
"Nhà ở, công sở, nhà máy, xưởng sản xuất không chứa các đồ vật quý hiếm hoặc đặc biệt dễ bị hủy hoại (x)","0,3"
"Khu công nghiệp, nông nghiệp có chứa các thứ đặc biệt dễ bị hủy hoại (x)","0,8"
"Trạm điện, trạm khí đốt, điện thoại, đài phát thanh","1,0"
"Khu công nghiệp then chốt, công trình di tích lịch sử, bảo tàng, tòa nhà trưng bày tác phẩm nghệ thuật hoặc công trình có chứa các thứ đặc biệt dễ bị hủy hoại (x)","1,3"
"Trường học, bệnh viện, nhà trẻ mẫu giáo, nơi tập trung đông người","1,7"
