Loại nguồn cấp,Diện tích thu sét hữu dụng ($m^{2}$)
Đường dây hạ áp trên không,10 x D x L
Đường dây cao áp trên không (tới biến áp của công trình),4 x D x L
Đường dây hạ áp đi ngầm,2 x D x L
Đường dây cao áp đi ngầm (tới biến áp của công trình),"0,1 x D x L"
