Định nghĩa,Theo BS 923-2 — Thời gian trước s,Theo BS 923-2 — Thời gian của giá trị bán phần s,Theo BS 5698-1 — Thời gian tăng từ 10 % lên 90 % s,Theo BS 5698-1 — Khoảng thời gian 50 % đến 50 % s
Điện áp mạch hở,12,50,1,50
Dòng ngắn mạch,8,20,"6,4",16
