Loại bao bọc,Giá trị G
"Công trình nằm trên một diện tích rộng có cây và nhà cửa độ cao gần như nhau, ví dụ như trong thị trấn hoặc rừng","0,4"
Công trình nằm trên một diện tích rộng có ít cây và nhà cửa độ cao gần tương đương.,"1,0"
Công trình cao hơn hẳn các công trình và cây cối xung quanh ít nhất 2 lần.,2
