Sử dụng công trình và hậu quả của các hư hại tới các đối tượng bên trong,Chỉ số hậu quả
Nhà ở dân dụng và công trình có trang thiết bị giá thấp và có giá trị khấu hao thấp,1
"Tòa nhà thương mại và công nghiệp có các hệ thống máy tính, nơi mà các hư hại hệ thống đó có thể phá hoại sản xuất",2
"Các ứng dụng thương mại và công nghiệp, nơi mà khi mất dữ liệu máy tính có thể gây tổn hại tài chính lớn",3
Các công trình mà khi mất điều khiển máy tính hoặc hệ thống có thể dẫn tới hủy hoại môi trường và sức khỏe con người,4
