Mức độ thử,Dòng thử xung cao kA,Thử xông qua điện áp — Điện áp (kV),Thử xông qua điện áp — Dòng (A)
Thấp,"2,5","1,5","37,5"
Trung bình,5,3,75
Cao,10,5,125
