"Giới hạn chảy dùng để so sánh, MPa",Ký hiệu thép,Tiêu chuẩn sản phẩm,"Giới hạn chảy thực tế, MPa","Giới hạn bền, MPa"
240,CB240-T,TCVN 1651-1:2008,240 min.,380 min.
300,CB300-T,TCVN 1651-1:2008,300 min.,440 min.
235,A-I (A240),GOST 5781-82*,235 min.,373 min.
235,SR235,JIS G 3112-2010,235 min.,380 đến 520
295,SR295,JIS G 3112-2010,295 min.,440 đến 600
250,gr. 250,BS 4449:1997,250 min.,"287,5 min."
250,250R,AS 1302-1991,250 min.,-
250,250S,AS 1302-1991,250 min.,-
