Điều kiện làm việc của kết cấu nhà,Chiều dày tối thiểu của lớp bê tông bảo vệ
1. Trong các gian phòng được che phủ với độ ẩm bình thường và thấp (không lớn hơn 75 %).,20
2. Trong các gian phòng được che phủ với độ ẩm nâng cao (lớn hơn 75 %) (khi không có các biện pháp bảo vệ bổ sung).,25
3. Ngoài trời (khi không có các biện pháp bảo vệ bổ sung).,30
"4. Trong đất (khi không có các biện pháp bảo vệ bổ sung), trong móng khi có lớp bê tông lót.",40
