Cấp cường độ chịu nén của bê tông,Giá trị của φ khi $L_{0}$/h bằng,,,
Cấp cường độ chịu nén của bê tông,6,10,15,20
B20 đến B55,"0,92","0,90","0,83","0,70"
B60 đến B70,"0,91","0,89","0,80","0,65"
B80 đến B90,"0,90","0,88","0,79","0,64"
B100,"0,89","0,87","0,78","0,63"
