Cần trục,Nhóm chế độ làm việc,Điều kiện sử dụng
Cần trục dẫn động bằng tay các loại,A1 đến A3,Bất kỳ
Cần trục dẫn động bằng palăng treo kể cả với thiết bị mang tải treo,A1 đến A3,"Công tác sửa chữa, di chuyển tải trọng với cường độ hạn chế"
Cần trục với xe con có tời kể cả với kẹp treo,A1 đến A3,"Trong các gian máy của trạm thủy điện, công tác lắp ráp và di chuyển tải trọng với cường độ hạn chế"
Cần trục với xe con có tời kể cả với thiết bị mang tải treo,A4 đến A6,Công tác di chuyển tải trọng với cường độ trung bình; công tác công nghệ ở các phân xưởng cơ khí; trong các kho chứa các thành phẩm của xí nghiệp vật liệu xây dựng; trong các kho phân phối các sản phẩm kim loại
"Cần trục gàu ngoạm hai cáp, cần trục gàu ngoạm-nam châm",A4 đến A6,"Trong các kho hỗn hợp, công việc với các tải trọng khác nhau"
Cần trục nam châm,A4 đến A6,"Trong các kho bán thành phẩm, công việc với các tải trọng khác nhau"
"Cần trục tôi, cần trục rèn, cần trục mang điện cực, cần trục đúc",A7,Trong các phân xưởng của nhà máy luyện kim
"Cần trục gàu ngoạm hai cáp, cần trục gàu ngoạm-nam châm",A7,"Trong các kho chứa vật liệu chất đống, sắt vụn với các tải trọng cùng loại (làm việc một hoặc hai ca)"
Cần trục với xe con tời kể cả với kẹp treo,A7,Cần trục công nghệ làm việc suốt ngày đêm
"Cần trục dầm nâng, cần trục mang thùng nạp liệu có gàu ngoạm, cần trục nạp liệu lò Martin, cần trục dỡ thỏi đúc, cần trục đập, cần trục lò giếng",A8,Trong các phân xưởng của nhà máy luyện kim
Cần trục nam châm,A8,"Trong các phân xưởng và kho của nhà máy luyện kim, các cơ sở lớn chứa kim loại với tải trọng cùng loại"
"Cần trục gàu ngoạm hai cáp, cần trục gàu ngoạm-nam châm",A8,Trong các kho chứa vật liệu chất đống và sắt vụn với tải trọng cùng loại (làm việc suốt ngày đêm)
