Bê tông,Mác chống thấm nước
"Bê tông nặng, bao gồm cả bê tông tự ứng suất; bê tông hạt nhỏ",W2; W4; W6; W8; W10; W12; W14; W16; W18; W20
Bê tông nhẹ,W2; W4; W6; W8; W10; W12
