Cường độ,Bê tông,Giá trị của $R_{bt}$ khi cấp cường độ chịu kéo của bê tông bằng,,,,,,
Cường độ,Bê tông,"$B_{t}$0,8","$B_{t}$1,2","$B_{t}$1,6","$B_{t}$2,0","$B_{t}$2,4","$B_{t}$2,8","$B_{t}$3,2"
Chịu kéo dọc trục $R_{bt}$,"Bê tông nặng, bê tông hạt nhỏ và bê tông tự ứng suất","0,62","0,93","1,25","1,55","1,85","2,15","2,45"
