"Giới hạn chảy dùng để so sánh, MPa",Ký hiệu thép (và/hoặc đường kính),Tiêu chuẩn sản phẩm,"Giới hạn chảy quy ước, MPa","Giới hạn bền, MPa"
500,5 đến 12,TCVN 6288:1997 (ISO 10544:1992),500 min.,550 min.
500,"Bp-I (3,0; 4,0; 5,0)",GOST 6727:1980*,500 min.,550 min.
500,Các loại đường kính,JIS G 3532-2000,500 min.,550 min.
450,Trơn,ASTM A1064/A1064M-10,450 min.,520 min.
480,Vằn,ASTM A1064/A1064M-10,480 min.,550 min.
