"Giới hạn chảy dùng để so sánh, MPa",Ký hiệu thép (và/hoặc đường kính),Tiêu chuẩn sản phẩm,"Giới hạn chảy quy ước, MPa","Giới hạn bền, MPa"
1 580,"19 sợi-17,8-1860",TCVN 6284-4:1997 <br>(ISO 6934-4:1991),1 581 min.,1 860 min.
1 580,"19 sợi-19,3-1860",TCVN 6284-4:1997 <br>(ISO 6934-4:1991),1 581 min.,1 860 min.
1 540,"19 sợi-20,3-1810",TCVN 6284-4:1997 <br>(ISO 6934-4:1991),1 539 min.,1 810 min.
1 540,"19 sợi-21,8-1810",TCVN 6284-4:1997 <br>(ISO 6934-4:1991),1 539 min.,1 810 min.
1 500,K19 (K1500),TU 14-4-22-71,1 500 min.,1 770 min.
