STTSTTSTT,NỘI DUNG CHI PHÍNỘI DUNG CHI PHÍNỘI DUNG CHI PHÍ,GIÁ TRỊ TRƯỚC THUẾGIÁ TRỊ TRƯỚC THUẾGIÁ TRỊ TRƯỚC THUẾ,THUẾ GTGTTHUẾTHUẾ  GTGTGTGT,GIÁ TRỊ SAU THUẾGIÁ TRỊ SAU THUẾGIÁ TRỊ SAU THUẾ,KÝ HIỆUKÝKÝ  HIỆUHIỆU
[1][1][1],[2][2][2],[3][3][3],[4][4][4],[5][5][5],[6][6][6]
111,Chi phí xây dựngChi phí xây dựngChi phí xây dựng,,,,GXDGGXDXD
222,Chi phí thiết bịChi phí thiết bịChi phí thiết bị,,,,GTBGGTBTB
333,Chi phí quản lý dự ánChi phí quản lý dự ánChi phí quản lý dự án,,,,GQLDAGGQLDAQLDA
444,Chi phí tư vấn xây dựngChi phí tư vấn xây dựngChi phí tư vấn xây dựng,,,,GTVGGTVTV
555,Chi phí khácChi phí khácChi phí khác,,,,GKGGKK
666,Chi phí dự phòng (GDP1 + GDP2)Chi phí dự phòng (GChi phí dự phòng (GDP1 DP1 + G+ GDP2DP2)),,,,GDPGGDPDP
6.16.16.1,"Chi phí dự phòng cho khối lượng, công việc phát sinhChi phí dự phòng cho khối lượng,Chi phí dự phòng cho khối lượng,  công việc phát sinhcông việc phát sinh",,,,
6.26.26.2,Chi phí dự phòng cho yếu tố trượt giáChi phí dự phòng cho yếu tố trượtChi phí dự phòng cho yếu tố trượt  giágiá,,,,
,TỔNG CỘNG ( 1+2+3+4+5+6)TỔNG CỘNG ( 1+2+3+4+5+6)TỔNG CỘNG ( 1+2+3+4+5+6),,,,GXDCTGGXDCTXDCT
