STT,NỘI DUNG CHI PHÍ,GIÁ TRỊ TRƯỚC THUẾ,THUẾ GTGT,GIÁ TRỊ SAU THUẾ,KÝ HIỆU
[1],[2],[3],[4],[5],[6]
1,Chi phí bảo hiểm công trình,,,,
2,Phí thẩm định thiết kế,,,,
3,Chi phí kiểm tra công tác nghiệm thu,,,,
...,...,,,,
...,Các loại chi phí khác có liên quan,,,,
,TỔNG CỘNG,,,,GK
