"Tổng chi phí trực tiếp (T), chi phí gián tiếp (GT), thu nhập chịu thuế tính trước (TL) (tỷ đồng)Tổng chi phí trực tiếp (T), chi phí gián tiếp (GT), thu nhập chịu thuế tính trước (TL) (tỷ đồng)Tổng chi phí trực tiếp (T), chi phí gián tiếp (GT), thu nhập chịu thuế tính trước (TL) (tỷ đồng)",≤ 2≤ 2≤ 2,> 2> 2> 2
Lập phương án kỹ thuật khảo sát xây dựng (%)Lập phương án kỹ thuật khảo sát xây dựng (%)Lập phương án kỹ thuật khảo sát xây dựng (%),222,"1,51,51,5"
Lập báo cáo kết quả khảo sát xây dựng (%)Lập báo cáo kết quả khảo sát xây dựng (%)Lập báo cáo kết quả khảo sát xây dựng (%),333,"2,52,52,5"
