TTTTTT,Loại công trình[1] thuộc dự ánLoại công trìnhLoại công trình[1][1]  thuộc dự ánthuộc dự án,Tỷ lệ (%)Tỷ lệ (%)Tỷ lệ (%)
111,Công trình dân dụngCông trình dân dụngCông trình dân dụng,"7,37,37,3"
,"Riêng công trình tu bổ, phục hồi di tích lịch sử, văn hoáRiêng công trình tu bổ, phục hồi di tích lịch sử, vănRiêng công trình tu bổ, phục hồi di tích lịch sử, văn  hoáhoá","11,611,611,6"
222,Công trình công nghiệpCông trình công nghiệpCông trình công nghiệp,"6,26,26,2"
,"Riêng công trình xây dựng đường hầm thủy điện, hầm lòRiêng công trình xây dựng đường hầm thủy điện, hầmRiêng công trình xây dựng đường hầm thủy điện, hầm  lòlò","7,37,37,3"
333,Công trình giao thôngCông trình giao thôngCông trình giao thông,"6,26,26,2"
,Riêng công trình hầm giao thôngRiêng công trình hầm giao thôngRiêng công trình hầm giao thông,"7,37,37,3"
444,Công trình nông nghiệp và môi trườngCông trình nông nghiệp và môi trườngCông trình nông nghiệp và môi trường,"6,16,16,1"
,Riêng công trình đường hầmRiêng công trình đường hầmRiêng công trình đường hầm,"7,37,37,3"
555,Công trình hạ tầng kỹ thuậtCông trình hạ tầng kỹ thuậtCông trình hạ tầng kỹ thuật,"5,55,55,5"
