"Tổng chi phí trực tiếp (T), chi phí gián tiếp (GT), thu nhập chịu thuế tính trước (TL) (tỷ đồng)",≤ 2,> 2
Lập phương án kỹ thuật khảo sát xây dựng (%),2,"1,5"
Lập báo cáo kết quả khảo sát xây dựng (%),3,"2,5"
