STTSTTSTT,Nội dungNNội dungội dung
Mẫu số 01/QTDAMẫuMẫu số 01 số 01//QTDAQTDA,Bảng tính giá trị quyết toán hợp đồng giữa chủ đầu tư và nhà thầu (Quyết toán A - B)BảngBảng t tính giá trính giá trị quyết toị quyết toán hán hợp đồng giữa chủ đầu tư vợp đồng giữa chủ đầu tư và nhà thà nhà thầu (Quyết toầu (Quyết toán A - B)án A - B)
Mẫu số 02/QTDAMẫuMẫu số 02 số 02//QTDAQTDA,"Về việc bổ sung, hoàn thiện hồ sơ, tài liệu quyết toán hợp đồng dự án (lần....)VVề việc bổ sung, hoề việc bổ sung, hoàn thiàn thiện hồ sơ, tện hồ sơ, tài liài liệu quyết toệu quyết toán hán hợp đồng dự ợp đồng dự án (lán (lần....)ần....)"
