Độ nhạy của đầu báo cháy khói kiểu hút,Chiều cao tối đa khu vực bảo vệ (m),Bán kính bảo vệ của 1 lỗ hút (m)
"Loại A, siêu nhạy",30,"6,5"
"Loại B, độ nhạy cao",18,"6,5"
"Loại C, độ nhạy tiêu chuẩn",12,"6,5"
