STTSTTSTT,Loại công trìnhLoại côngLoại công  trìnhtrình,Tiêu chí phân cấpTiêuTiêu  chíchí  phân cấpphân cấp,Cấp công trìnhCấp côngCấp công  trìnhtrình — Đặc biệtĐặc biệtĐặc biệt,Cấp công trìnhCấp côngCấp công  trìnhtrình — III,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IVIVIV
1.2.21.2.21.2.2,1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng,1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng,1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng,1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng,1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng,1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng,1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng1.2.2.6 Nhà máy chế tạo máy xây dựng
1.2.21.2.21.2.2,"a) Nhà máy sản xuất, lắp ráp máy ủi, máy đào, máy xúca) Nhà máy sản xuất, lắp ráp máy ủi, máy đào, máy xúca) Nhà máy sản xuất, lắp ráp máy ủi, máy đào, máy xúc",TSL (sản phẩm/năm)TSL (sản phẩm/năm)TSL (sản phẩm/năm),,>250>250>250,≤250≤250≤250,,
1.2.21.2.21.2.2,"b) Nhà máy sản xuất, lắp ráp xe lu tĩnh và lu rungb) Nhà máy sản xuất, lắp ráp xe lu tĩnh và lu rungb) Nhà máy sản xuất, lắp ráp xe lu tĩnh và lu rung",TSL (sản phẩm/năm)TSL (sản phẩm/năm)TSL (sản phẩm/năm),,>130>130>130,≤130≤130≤130,,
1.2.21.2.21.2.2,"c) Nhà máy sản xuất, lắp ráp cẩu tự hànhc) Nhà máy sản xuất, lắp ráp cẩu tự hànhc) Nhà máy sản xuất, lắp ráp cẩu tự hành",TSL (sản phẩm/năm)TSL (sản phẩm/năm)TSL (sản phẩm/năm),,>40>40>40,≤40≤40≤40,,
1.2.21.2.21.2.2,1.2.2.7 Nhà máy chế tạo thiết bị toàn bộ1.2.2.7 Nhà máy chế tạo thiết bị toàn bộ1.2.2.7 Nhà máy chế tạo thiết bị toàn bộ,TSL (nghìn tấn thiết bị/năm)TSL (nghìn tấn thiết bị/năm)TSL (nghìn tấn thiết bị/năm),,>10>10>10,5 ÷ 105 ÷ 105 ÷ 10,<5<5<5,
1.2.21.2.21.2.2,"1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông","1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông","1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông","1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông","1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông","1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông","1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông1.2.2.8 Nhà máy sản xuất, lắp ráp phương tiện giao thông"
1.2.21.2.21.2.2,"a) Nhà máy sản xuất, lắp ráp ô tôa) Nhà máy sản xuất, lắp ráp ô tôa) Nhà máy sản xuất, lắp ráp ô tô",TSL (nghìn xe/năm)TSL (nghìn xe/năm)TSL (nghìn xe/năm),,>10>10>10,5 ÷ 105 ÷ 105 ÷ 10,<5<5<5,
1.2.21.2.21.2.2,"b) Nhà máy sản xuất, lắp ráp xe máyb) Nhà máy sản xuất, lắp ráp xe máyb) Nhà máy sản xuất, lắp ráp xe máy",TSL (nghìn xe/năm)TSL (nghìn xe/năm)TSL (nghìn xe/năm),,>500>500>500,≤500≤500≤500,,
1.2.21.2.21.2.2,"c) Nhà máy sản xuất, lắp ráp đầu máy tàu hỏac) Nhà máy sản xuất, lắp ráp đầu máy tàu hỏac) Nhà máy sản xuất, lắp ráp đầu máy tàu hỏa",TSL (nghìn đầu máy/năm)TSL (nghìn đầu máy/năm)TSL (nghìn đầu máy/năm),,>1>1>1,"0,5 ÷ 10,5 ÷ 10,5 ÷ 1","<0,5<0,5<0,5",
1.2.21.2.21.2.2,d) Cơ sở đóng mới phương tiện thủy nội địad) Cơ sở đóng mới phương tiện thủy nội địad) Cơ sở đóng mới phương tiện thủy nội địa,Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),,>30>30>30,10 ÷ 3010 ÷ 3010 ÷ 30,5 ÷ <105 ÷ <105 ÷ <10,<5<5<5
1.2.21.2.21.2.2,đ) Cơ sở đóng mới tàu biểnđ) Cơ sở đóng mới tàu biểnđ) Cơ sở đóng mới tàu biển,Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),>70>70>70,>40 ÷ 70>40 ÷ 70>40 ÷ 70,>20 ÷ 40>20 ÷ 40>20 ÷ 40,>5 ÷ 20>5 ÷ 20>5 ÷ 20,≤5≤5≤5
1.2.31.2.31.2.3,Công trình khai thác mỏ và chế biến khoáng sảnCôngCông  trìnhtrình  khaikhai  thácthác  mỏ vàmỏ và  chế biến khoángchế biến khoáng  sảnsản,Công trình khai thác mỏ và chế biến khoáng sảnCôngCông  trìnhtrình  khaikhai  thácthác  mỏ vàmỏ và  chế biến khoángchế biến khoáng  sảnsản,Công trình khai thác mỏ và chế biến khoáng sảnCôngCông  trìnhtrình  khaikhai  thácthác  mỏ vàmỏ và  chế biến khoángchế biến khoáng  sảnsản,Công trình khai thác mỏ và chế biến khoáng sảnCôngCông  trìnhtrình  khaikhai  thácthác  mỏ vàmỏ và  chế biến khoángchế biến khoáng  sảnsản,Công trình khai thác mỏ và chế biến khoáng sảnCôngCông  trìnhtrình  khaikhai  thácthác  mỏ vàmỏ và  chế biến khoángchế biến khoáng  sảnsản,Công trình khai thác mỏ và chế biến khoáng sảnCôngCông  trìnhtrình  khaikhai  thácthác  mỏ vàmỏ và  chế biến khoángchế biến khoáng  sảnsản,Công trình khai thác mỏ và chế biến khoáng sảnCôngCông  trìnhtrình  khaikhai  thácthác  mỏ vàmỏ và  chế biến khoángchế biến khoáng  sảnsản
1.2.31.2.31.2.3,1.2.3.1 Mỏ than hầm lò1.2.3.1 Mỏ than hầm lò1.2.3.1 Mỏ than hầm lò,TSL (triệu tấn than/năm)TSL (triệu tấn than/năm)TSL (triệu tấn than/năm),,>1>1>1,"0,3 ÷ 10,3 ÷ 10,3 ÷ 1","<0,3<0,3<0,3",
1.2.31.2.31.2.3,1.2.3.2 Mỏ quặng hầm lò1.2.3.2 Mỏ quặng hầm lò1.2.3.2 Mỏ quặng hầm lò,TSL (triệu tấn quặng/năm)TSL (triệu tấn quặng/năm)TSL (triệu tấn quặng/năm),,>3>3>3,1 ÷ 31 ÷ 31 ÷ 3,<1<1<1,
1.2.31.2.31.2.3,1.2.3.3 Mỏ than lộ thiên1.2.3.3 Mỏ than lộ thiên1.2.3.3 Mỏ than lộ thiên,TSL (triệu tấn than/năm)TSL (triệu tấn than/năm)TSL (triệu tấn than/năm),,,≥2≥2≥2,<2<2<2,
1.2.31.2.31.2.3,1.2.3.4 Mỏ quặng lộ thiên1.2.3.4 Mỏ quặng lộ thiên1.2.3.4 Mỏ quặng lộ thiên,TSL (triệu tấn quặng/năm)TSL (triệu tấn quặng/năm)TSL (triệu tấn quặng/năm),,,≥2≥2≥2,<2<2<2,
1.2.31.2.31.2.3,1.2.3.5 Nhà máy sàng tuyển than1.2.3.5 Nhà máy sàng tuyển than1.2.3.5 Nhà máy sàng tuyển than,TSL (triệu tấn/năm)TSL (triệu tấn/năm)TSL (triệu tấn/năm),,>5>5>5,2 ÷ 52 ÷ 52 ÷ 5,<2<2<2,
1.2.31.2.31.2.3,1.2.3.6 Nhà máy tuyển/làm giàu quặng (bao gồm cả tuyển quặng bô xít)1.2.3.6 Nhà máy tuyển/làm giàu quặng (bao gồm cả tuyển quặng bô xít)1.2.3.6 Nhà máy tuyển/làm giàu quặng (bao gồm cả tuyển quặng bô xít),TSL (triệu tấn/năm)TSL (triệu tấn/năm)TSL (triệu tấn/năm),,>7>7>7,3 ÷ 73 ÷ 73 ÷ 7,<3<3<3,
1.2.31.2.31.2.3,1.2.3.7 Công trình sản xuất alumin1.2.3.7 Công trình sản xuất alumin1.2.3.7 Công trình sản xuất alumin,Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô
1.2.41.2.41.2.4,Công trình dầu khíCôngCông  trìnhtrình  dầu khídầu khí,Công trình dầu khíCôngCông  trìnhtrình  dầu khídầu khí,Công trình dầu khíCôngCông  trìnhtrình  dầu khídầu khí,Công trình dầu khíCôngCông  trìnhtrình  dầu khídầu khí,Công trình dầu khíCôngCông  trìnhtrình  dầu khídầu khí,Công trình dầu khíCôngCông  trìnhtrình  dầu khídầu khí,Công trình dầu khíCôngCông  trìnhtrình  dầu khídầu khí
1.2.41.2.41.2.4,1.2.4.1 Công trình khai thác trên biển (giàn khai thác)1.2.4.1 Công trình khai thác trên biển (giàn khai thác)1.2.4.1 Công trình khai thác trên biển (giàn khai thác),Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô
1.2.41.2.41.2.4,"1.2.4.2 Công trình lọc, hóa dầu (không bao gồm các công trình quy định tại điểm b mục 1.2.6.2 của Bảng này)1.2.4.2 Công trình lọc, hóa dầu (không bao gồm các công trình quy định tại điểm b mục 1.2.6.2 của Bảng này)1.2.4.2 Công trình lọc, hóa dầu (không bao gồm các công trình quy định tại điểm b mục 1.2.6.2 của Bảng này)",TCS (triệu tấn/năm)TCS (triệu tấn/năm)TCS (triệu tấn/năm),≥5≥5≥5,<5<5<5,,,
1.2.41.2.41.2.4,1.2.4.3 Công trình chế biến khí1.2.4.3 Công trình chế biến khí1.2.4.3 Công trình chế biến khí,TCS (triệu m3 khí/ngày)TCS (triệu mTCS (triệu m33 khí/ngày) khí/ngày),≥10≥10≥10,<10<10<10,,,
1.2.41.2.41.2.4,1.2.4.4 Công trình sản xuất nhiên liệu sinh học1.2.4.4 Công trình sản xuất nhiên liệu sinh học1.2.4.4 Công trình sản xuất nhiên liệu sinh học,TCS (nghìn tấn sản phẩm/năm)TCS (nghìn tấn sản phẩm/năm)TCS (nghìn tấn sản phẩm/năm),>500>500>500,200 ÷ 500200 ÷ 500200 ÷ 500,<200<200<200,,
1.2.41.2.41.2.4,1.2.4.5 Kho xăng dầu1.2.4.5 Kho xăng dầu1.2.4.5 Kho xăng dầu,Tổng dung tích chứa (nghìn m3)Tổng dung tích chứa (nghìn mTổng dung tích chứa (nghìn m33)),>100>100>100,5 ÷ 1005 ÷ 1005 ÷ 100,"0,21 ÷ <50,21 ÷ <50,21 ÷ <5","<0,21<0,21<0,21",
1.2.41.2.41.2.4,"1.2.4.6 Kho chứa khí hóa lỏng, trạm chiết nạp khí hóa lỏng1.2.4.6 Kho chứa khí hóa lỏng, trạm chiết nạp khí hóa lỏng1.2.4.6 Kho chứa khí hóa lỏng, trạm chiết nạp khí hóa lỏng",Tổng dung tích chứa (nghìn m3)Tổng dung tích chứa (nghìn mTổng dung tích chứa (nghìn m33)),>100>100>100,5 ÷ 1005 ÷ 1005 ÷ 100,<5<5<5,,
1.2.41.2.41.2.4,"1.2.4.7 Công trình sản xuất nhiên liệu mới (hydrogen và dẫn xuất hydrogen, SAF)1.2.4.7 Công trình sản xuất nhiên liệu mới (hydrogen và dẫn xuất hydrogen, SAF)1.2.4.7 Công trình sản xuất nhiên liệu mới (hydrogen và dẫn xuất hydrogen, SAF)",Tổng công suất sản phẩm (nghìn tấn/năm)Tổng công suất sản phẩm (nghìn tấn/năm)Tổng công suất sản phẩm (nghìn tấn/năm),≥300≥300≥300,<300<300<300,,,
1.2.51.2.51.2.5,Công trình năng lượngCôngCông  trìnhtrình  năng lượngnăng lượng,Công trình năng lượngCôngCông  trìnhtrình  năng lượngnăng lượng,Công trình năng lượngCôngCông  trìnhtrình  năng lượngnăng lượng,Công trình năng lượngCôngCông  trìnhtrình  năng lượngnăng lượng,Công trình năng lượngCôngCông  trìnhtrình  năng lượngnăng lượng,Công trình năng lượngCôngCông  trìnhtrình  năng lượngnăng lượng,Công trình năng lượngCôngCông  trìnhtrình  năng lượngnăng lượng
1.2.51.2.51.2.5,1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện,1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện,1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện,1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện,1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện,1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện,1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện1.2.5.1 Công trình nhiệt điện
1.2.51.2.51.2.5,a) Công trình nhiệt điện đốt thana) Công trình nhiệt điện đốt thana) Công trình nhiệt điện đốt than,Công suất tổ máy (MW)Công suất tổ máy (MW)Công suất tổ máy (MW),≥600≥600≥600,300 ÷ <600300 ÷ <600300 ÷ <600,50 ÷ <30050 ÷ <30050 ÷ <300,<50<50<50,
1.2.51.2.51.2.5,b) Công trình nhiệt điện đốt khíb) Công trình nhiệt điện đốt khíb) Công trình nhiệt điện đốt khí,Công suất tổ máy (MW)Công suất tổ máy (MW)Công suất tổ máy (MW),≥750≥750≥750,450 ÷ <750450 ÷ <750450 ÷ <750,50 ÷ <45050 ÷ <45050 ÷ <450,<50<50<50,
1.2.51.2.51.2.5,1.2.5.2 Nhà máy điện hạt nhân1.2.5.2 Nhà máy điện hạt nhân1.2.5.2 Nhà máy điện hạt nhân,Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô
1.2.51.2.51.2.5,1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện,1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện,1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện,1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện,1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện,1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện,1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện1.2.5.3 Công trình thủy điện
1.2.51.2.51.2.5,a) Nhà máya) Nhà máya) Nhà máy,Tổng công suất lắp máy (MW)Tổng công suất lắp máy (MW)Tổng công suất lắp máy (MW),>1.000>1.000>1.000,>50 ÷ 1.000>50 ÷ 1.000>50 ÷ 1.000,>30 ÷ 50>30 ÷ 50>30 ÷ 50,≤30≤30≤30,
1.2.51.2.51.2.5,b) Hồ chứab) Hồ chứab) Hồ chứa,Dung tích hồ chứa nước ứng với mực nước dâng bình thường (triệu m3)Dung tích hồ chứa nước ứng với mực nước dâng bình thường (triệu mDung tích hồ chứa nước ứng với mực nước dâng bình thường (triệu m33)),>1.000>1.000>1.000,>200 ÷ 1.000>200 ÷ 1.000>200 ÷ 1.000,>20 ÷ 200>20 ÷ 200>20 ÷ 200,≥3 ÷ 20≥3 ÷ 20≥3 ÷ 20,<3<3<3
1.2.51.2.51.2.5,"c) Công trình đập (đập dâng nước, đập tràn)c) Công trình đập (đập dâng nước, đập tràn)c) Công trình đập (đập dâng nước, đập tràn)",(Quy mô và đặc điểm của đập)(Quy mô và đặc điểm của đập)(Quy mô và đặc điểm của đập),,,,,
1.2.51.2.51.2.5,"Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)",AAA,>100>100>100,>70 ÷ 100>70 ÷ 100>70 ÷ 100,>25 ÷ 70>25 ÷ 70>25 ÷ 70,>10 ÷ 25>10 ÷ 25>10 ÷ 25,≤10≤10≤10
1.2.51.2.51.2.5,"Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)",BBB,,>35 ÷ 75>35 ÷ 75>35 ÷ 75,>15 ÷ 35>15 ÷ 35>15 ÷ 35,>8 ÷ 15>8 ÷ 15>8 ÷ 15,≤8≤8≤8
1.2.51.2.51.2.5,"Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)Đập vật liệu đất, đất - đá có chiều cao lớn nhất (m)",CCC,,,>15 ÷ 25>15 ÷ 25>15 ÷ 25,>5 ÷ 15>5 ÷ 15>5 ÷ 15,≤5≤5≤5
1.2.51.2.51.2.5,"Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)",AAA,>100>100>100,>60 ÷ 100>60 ÷ 100>60 ÷ 100,>25 ÷ 60>25 ÷ 60>25 ÷ 60,>10 ÷ 25>10 ÷ 25>10 ÷ 25,≤10≤10≤10
1.2.51.2.51.2.5,"Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)",BBB,,>25 ÷ 50>25 ÷ 50>25 ÷ 50,>10 ÷ 25>10 ÷ 25>10 ÷ 25,>5 ÷ 10>5 ÷ 10>5 ÷ 10,≤5≤5≤5
1.2.51.2.51.2.5,"Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)Đập bê tông, bê tông cốt thép có chiều cao lớn nhất (m)",CCC,,,>10 ÷ 20>10 ÷ 20>10 ÷ 20,>5 ÷ 10>5 ÷ 10>5 ÷ 10,≤5≤5≤5
1.2.51.2.51.2.5,"d) Đường dẫn nước có áp (đường hầm, đường ống,… thuộc tuyến năng lượng)d) Đường dẫn nước có áp (đường hầm, đường ống,… thuộc tuyến năng lượng)d) Đường dẫn nước có áp (đường hầm, đường ống,… thuộc tuyến năng lượng)",Chiều cao cột nước (m)Chiều cao cột nước (m)Chiều cao cột nước (m),>700>700>700,500 ÷ 700500 ÷ 700500 ÷ 700,100 ÷ <500100 ÷ <500100 ÷ <500,<100<100<100,
