Loại bề mặt,Độ nhám \Delta
1. Kính,"1,5·10$^{-6}$"
2. Vật liệu được đánh bóng,2·10$^{-6}$
3. Sơn dầu mịn,6·10$^{-6}$
4. Sơn phun,2·10$^{-5}$
5. Gang đúc,2·10$^{-4}$
6. Thép mạ kẽm,2·10$^{-4}$
7. Bê tông mài,2·10$^{-4}$
8. Bê tông nhám,10$^{-3}$
9. Gỉ sét,2·10$^{-3}$
"10. Khối xây (gạch, đá)",3·10$^{-3}$
