Re,"βmin, °",cmin,"βb, °",cb
5·105,85,"- 2,2",135,"- 0,4"
2·106,80,"- 1,9",120,"- 0,7"
107,75,"- 1,5",105,"- 0,8"
Các ký hiệu trong Bảng F.10: βmin là vị trí có giá trị áp lực gió nhỏ nhất; cmin là giá trị hệ số khí động áp lực gió nhỏ nhất; βb là vị trí dòng gió tách nhánh; cb là giá trị hệ số khí động áp lực gió nền.
