Dạng đường bao tiết diện ngang và hướng gió,Giá trị $k_1$
Tháp/giàn tiết diện vuông — Hướng gió vuông góc mặt bên,"1,0"
Tháp/giàn tiết diện tam giác đều — Hướng gió bất kỳ,"0,9"
Tháp/giàn tiết diện vuông — Hướng gió theo đường chéo góc,"1,2"
