Các khu vực (theo Bảng 4),p (kN/m2),p1 (kN/m2),n (Hz),b
"1. Các khu vực A, B (trừ phòng sinh hoạt ở khu B1); những chỗ nghỉ ngơi thuộc khu vực I2)","0,25","Lấy bằng qk,qper theo 8.3.3","1,5",125*sqrt(Q/(alpha*p*a*L))
2. Phòng học thuộc khu vực C1.1 và phòng sinh hoạt thuộc khu vực B1; Các khu vực C (trừ phòng khiêu vũ thuộc khu vực C4) và D; Những chỗ tập trung đông người thuộc khu vực I1,"0,50","Lấy bằng qk,qper theo 8.3.3","1,5",125*sqrt(Q/(alpha*p*a*L))
