Khu vực,Hạng trực thăng theo trọng lượng cất cánh,"Trọng lượng trực thăng, kN","Tải trọng cất cánh, Qk,t, kN","Kích thước diện truyền tải, m x m"
K,HC1 (nhẹ),< 50 1),20,"0,2 x 0,2"
K,HC2 (trung bình),≥ 50 và ≤ 150 2),60,"0,3 x 0,3"
1) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) không lớn hơn 20 kN. 2) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) trên 20 kN đến 60 kN.,1) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) không lớn hơn 20 kN. 2) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) trên 20 kN đến 60 kN.,1) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) không lớn hơn 20 kN. 2) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) trên 20 kN đến 60 kN.,1) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) không lớn hơn 20 kN. 2) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) trên 20 kN đến 60 kN.,1) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) không lớn hơn 20 kN. 2) Tải trọng tiêu chuẩn do trọng lượng cát cánh của trực thăng lên kết cấu đỡ chính (quy ước) trên 20 kN đến 60 kN.
