Loại sơ đồ,"α,°",Giá trị ce,Giá trị ce,Giá trị ce,Giá trị ce
Loại sơ đồ,"α,°",ce1,ce2,ce3,ce4
I,10,"0,5","- 1,3","- 1,1","0,0"
I,20,"1,1","0,0","0,0","-0,4"
I,30,"2,1","0,9","0,6","0,0"
II,10,"0,0","- 1,1","- 1,5","0,0"
II,20,"1,5","0,5","0,0","0,0"
II,30,"2,0","0,8","0,4","0,4"
III,10,"1,4","0,4",-,-
III,20,"1,8","0,5",-,-
III,30,"2,2","0,6",-,-
IV,10,"1,3","0,2",-,-
IV,20,"1,4","0,3",-,-
IV,30,"1,6","0,4",-,-
"CHÚ THÍCH 1: Đối với các giá trị âm của ce1, ce2, ce3, ce4, hướng áp lực trên các sơ đồ cần được thay thế ngược lại. CHÚ THÍCH 2: Đối với mái che lượn sóng, hệ số khí động ma sát cf = 0,04. CHÚ THÍCH 3: Đối với mái che nằm ngang, phải xét hai phương án chất tải ứng với các sơ đồ III và IV với α = 10°.","CHÚ THÍCH 1: Đối với các giá trị âm của ce1, ce2, ce3, ce4, hướng áp lực trên các sơ đồ cần được thay thế ngược lại. CHÚ THÍCH 2: Đối với mái che lượn sóng, hệ số khí động ma sát cf = 0,04. CHÚ THÍCH 3: Đối với mái che nằm ngang, phải xét hai phương án chất tải ứng với các sơ đồ III và IV với α = 10°.","CHÚ THÍCH 1: Đối với các giá trị âm của ce1, ce2, ce3, ce4, hướng áp lực trên các sơ đồ cần được thay thế ngược lại. CHÚ THÍCH 2: Đối với mái che lượn sóng, hệ số khí động ma sát cf = 0,04. CHÚ THÍCH 3: Đối với mái che nằm ngang, phải xét hai phương án chất tải ứng với các sơ đồ III và IV với α = 10°.","CHÚ THÍCH 1: Đối với các giá trị âm của ce1, ce2, ce3, ce4, hướng áp lực trên các sơ đồ cần được thay thế ngược lại. CHÚ THÍCH 2: Đối với mái che lượn sóng, hệ số khí động ma sát cf = 0,04. CHÚ THÍCH 3: Đối với mái che nằm ngang, phải xét hai phương án chất tải ứng với các sơ đồ III và IV với α = 10°.","CHÚ THÍCH 1: Đối với các giá trị âm của ce1, ce2, ce3, ce4, hướng áp lực trên các sơ đồ cần được thay thế ngược lại. CHÚ THÍCH 2: Đối với mái che lượn sóng, hệ số khí động ma sát cf = 0,04. CHÚ THÍCH 3: Đối với mái che nằm ngang, phải xét hai phương án chất tải ứng với các sơ đồ III và IV với α = 10°.","CHÚ THÍCH 1: Đối với các giá trị âm của ce1, ce2, ce3, ce4, hướng áp lực trên các sơ đồ cần được thay thế ngược lại. CHÚ THÍCH 2: Đối với mái che lượn sóng, hệ số khí động ma sát cf = 0,04. CHÚ THÍCH 3: Đối với mái che nằm ngang, phải xét hai phương án chất tải ứng với các sơ đồ III và IV với α = 10°."
