Cấp hậu quả của công trình,Mức độ quan trọng của công trình,Giá trị γn
C1,Thấp,"0,87"
C2,Trung bình,"1,00"
C3,Cao,"1,15"
"CHÚ THÍCH: Đối với nhà cao trên 250 m và mái nhịp lớn (không có trụ trung gian) với nhịp lớn hơn 120 m thì hệ số γn lấy không nhỏ hơn 1,2."
