khi $\lambda$ < 2: ,"$c_x$ = 0,2"
khi 2 ≤ $\lambda$ ≤ 8:,"$c_x$ = 0,1 $\lambda$ cho mỗi cửa trời"
khi $\lambda$ > 8: ,"$c_x$ = 0,8"
