"Đường kính của ống, DN",20,25,32,40,50,70,80,100,125,150
"Số lượng đầu phun nước có áp suất 0,5 MPa trở lên",1,3,5,9,18,28,46,80,150,Trên 150
"Số lượng đầu phun có áp suất đến 0,5 MPa",-,2,3,5,10,20,36,75,140,Trên 140
