STTSTTSTT,Tên sản phẩmTên sản phẩmTên sản phẩm,Chỉ tiêu kỹ thuậtChỉ tiêu kỹ thuậtChỉ tiêu kỹ thuật,Mức yêu cầuMức yêu cầuMức yêu cầu,Phương pháp thửPhương pháp thửPhương pháp thử,"Phương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫu","Mã hàng hóa xuất khẩu, nhập khẩu (HS)Mã hàng hóa xuất khẩu, nhập khẩu (HS)Mã hàng hóa xuất khẩu, nhập khẩu (HS)"
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),1. Kiểm tra sơ bộ1. Kiểm tra sơ bộ1. Kiểm tra sơ bộ,5 TCVN 6305-1:20075 TCVN 6305-1:20075 TCVN 6305-1:2007,7.2 TCVN 6305-1:20077.2 TCVN 6305-1:20077.2 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),2. Đo kích thước2. Đo kích thước2. Đo kích thước,6.1 TCVN 6305-1:20076.1 TCVN 6305-1:20076.1 TCVN 6305-1:2007,7.3 TCVN 6305-1:20077.3 TCVN 6305-1:20077.3 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),3. Thử tải trọng làm việc và độ bền của thân3. Thử tải trọng làm việc và độ bền của thân3. Thử tải trọng làm việc và độ bền của thân,6.6.1 TCVN 6305-1:20076.6.1 TCVN 6305-1:20076.6.1 TCVN 6305-1:2007,7.4 TCVN 6305-1:20077.4 TCVN 6305-1:20077.4 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),4. Khả năng chống rò rỉ và độ bền thủy tĩnh4. Khả năng chống rò rỉ và độ bền thủy tĩnh4. Khả năng chống rò rỉ và độ bền thủy tĩnh,"5, 6.8 TCVN 6305-1:20075, 6.8 TCVN 6305-1:20075, 6.8 TCVN 6305-1:2007",7.5 TCVN 6305-1:20077.5 TCVN 6305-1:20077.5 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),5. Chức năng5. Chức năng5. Chức năng,6.5.1 TCVN 6305-1:20076.5.1 TCVN 6305-1:20076.5.1 TCVN 6305-1:2007,7.6 TCVN 6305-1:20077.6 TCVN 6305-1:20077.6 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),6. Nhiệt độ làm việc6. Nhiệt độ làm việc6. Nhiệt độ làm việc,6.3 TCVN 6305-1:20076.3 TCVN 6305-1:20076.3 TCVN 6305-1:2007,7.7 TCVN 6305-1:20077.7 TCVN 6305-1:20077.7 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),7. Sự tăng nhiệt động lực học và hệ số dẫn (*)7. Sự tăng nhiệt động lực học và hệ số dẫn (*)7. Sự tăng nhiệt động lực học và hệ số dẫn (*),6.14 TCVN 6305-1:20076.14 TCVN 6305-1:20076.14 TCVN 6305-1:2007,7.7.2 TCVN 6305-1:20077.7.2 TCVN 6305-1:20077.7.2 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),8. Khả năng chịu nhiệt8. Khả năng chịu nhiệt8. Khả năng chịu nhiệt,6.9 TCVN 6305-1:20076.9 TCVN 6305-1:20076.9 TCVN 6305-1:2007,7.8.1 TCVN 6305-1:20077.8.1 TCVN 6305-1:20077.8.1 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),9. Thay đổi nhiệt độ đột ngột (sốc nhiệt)9. Thay đổi nhiệt độ đột ngột (sốc nhiệt)9. Thay đổi nhiệt độ đột ngột (sốc nhiệt),6.10 TCVN 6305-1:20076.10 TCVN 6305-1:20076.10 TCVN 6305-1:2007,7.9 TCVN 6305-1:20077.9 TCVN 6305-1:20077.9 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
2.6.1.2.6.1.2.6.1.,Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler)Đầu phun kín (Sprinkler),10. Lưu lượng nước10. Lưu lượng nước10. Lưu lượng nước,6.4.1 TCVN 6305-1:20076.4.1 TCVN 6305-1:20076.4.1 TCVN 6305-1:2007,7.11 TCVN 6305-1:20077.11 TCVN 6305-1:20077.11 TCVN 6305-1:2007,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:1. Lô phương tiện thử nghiệm lần đầu:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:- Đối với các sprinkler không phải loại sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần:+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu 194 ≤ n < 10.000 thì lấy 194 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;+ Nếu n > 10.000 thì lấy 388 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;- Đối với các sprinkler lắp chìm, sprinkler lắp chìm có nắp đậy và sprinkler trần, số lượng lấy mẫu tăng thêm 10 mẫu;2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:2. Lô phương tiện thử nghiệm các lần kế tiếp:+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu 124 ≤ n < 10.000 thì lấy 124 mẫu;+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.+ Nếu n > 10000 thì lấy 248 mẫu.",8424.90.308424.90.308424.90.30
