STTSTTSTT,Tên sản phẩmTên sản phẩmTên sản phẩm,Chỉ tiêu kỹ thuậtChỉ tiêu kỹ thuậtChỉ tiêu kỹ thuật,Mức yêu cầuMức yêu cầuMức yêu cầu,Phương pháp thửPhương pháp thửPhương pháp thử,"Phương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫu","Mã hàng hóa xuất khẩu, nhập khẩu (HS)Mã hàng hóa xuất khẩu, nhập khẩu (HS)Mã hàng hóa xuất khẩu, nhập khẩu (HS)"
2.1.12.1.12.1.1,Máy bơm ly tâm chữa cháy loại cố định dùng động cơ điệnMáy bơm ly tâm chữa cháy loại cố định dùng động cơ điệnMáy bơm ly tâm chữa cháy loại cố định dùng động cơ điện,"1. Lưu lượng, áp suất, tốc độ vòng quay của bơm1. Lưu lượng, áp suất, tốc độ vòng quay của bơm1. Lưu lượng, áp suất, tốc độ vòng quay của bơm",2.3 TCVN 4208: 20092.3 TCVN 4208: 20092.3 TCVN 4208: 2009,"Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012;Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012;Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012;Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010;Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010;Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;","Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118418413.70.113.70.11
2.1.12.1.12.1.1,Máy bơm ly tâm chữa cháy loại cố định dùng động cơ điệnMáy bơm ly tâm chữa cháy loại cố định dùng động cơ điệnMáy bơm ly tâm chữa cháy loại cố định dùng động cơ điện,2. Xác định dòng điện làm việc của động cơ ở 110% mức lưu lượng lớn nhất (đối với máy bơm thiết kế làm việc tại 01 điểm)2. Xác định dòng điện làm việc của động cơ ở 110% mức lưu lượng lớn nhất (đối với máy bơm thiết kế làm việc tại 01 điểm)2. Xác định dòng điện làm việc của động cơ ở 110% mức lưu lượng lớn nhất (đối với máy bơm thiết kế làm việc tại 01 điểm),Không xuất hiện sự quá tải trên động cơKhông xuất hiện sự quá tải trên động cơKhông xuất hiện sự quá tải trên động cơ,Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012;Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVNLắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012; 9222:2012;Đo cường độ dòng điện làm việc trên các pha tại điểm làm việc 110% lưu lượngĐo cường độ dòng điện làm việc trên các pha tại điểm làm việc 110% lưu lượngĐo cường độ dòng điện làm việc trên các pha tại điểm làm việc 110% lưu lượng,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118418413.70.113.70.11
2.1.12.1.12.1.1,Máy bơm ly tâm chữa cháy loại cố định dùng động cơ điệnMáy bơm ly tâm chữa cháy loại cố định dùng động cơ điệnMáy bơm ly tâm chữa cháy loại cố định dùng động cơ điện,3. Độ kín của buồng bơm.3. Độ kín của buồng bơm.3. Độ kín của buồng bơm.,Không xuất hiện rò rỉ tại áp suất thử trong thời gian một phút (thử nghiệm với áp suất tối đa khi đóng kín họng ra)Không xuất hiện rò rỉ tại áp suất thử trong thời gian một phút (thử nghiệm với áp suất tối đa khi đóng kín họng ra)Không xuất hiện rò rỉ tại áp suất thử trong thời gian một phút (thử nghiệm với áp suất tối đa khi đóng kín họng ra),"Kiểm tra trực quan quan: Kiểm tra trực quan quKiểm tra trực quan quan: an: Khởi động và từ từ đóng họng ra của máy bơm, quan sát đồng hồ đo áp suất để chọn điểm làm việc có áp suất tối đa, duy trì máy bơm làm việc tại điểm đó và kiểm tra vỏ bơmKhởi động và từ từ đóng họng ra của máy bơm, quan sát đồng hồ đo áp suất để chọn điểm làm việc có áp suất tối đa, duy trì máy bơm làm việc tại điểm đó và kiểm tra vỏ bơmKhởi động và từ từ đóng họng ra của máy bơm, quan sát đồng hồ đo áp suất để chọn điểm làm việc có áp suất tối đa, duy trì máy bơm làm việc tại điểm đó và kiểm tra vỏ bơm","Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu ≤ n 10 thì lấy 01 mẫu;+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 10 ≤ n < 20 thì lấy 02 mẫu+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu 20 ≤ n < 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118418413.70.113.70.11
2.1.22.1.22.1.2,Máy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trongMáy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trongMáy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trong,"1. Lưu lượng, áp suất, tốc độ vòng quay của bơm1. Lưu lượng, áp suất, tốc độ vòng quay của bơm1. Lưu lượng, áp suất, tốc độ vòng quay của bơm",2.3 TCVN 4208: 20092.3 TCVN 4208: 20092.3 TCVN 4208: 2009,"Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012;Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012;Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012;Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010; Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010; .4.1 TCVN 8531:2010; Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;","Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118413.70.118413.70.11
2.1.22.1.22.1.2,Máy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trongMáy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trongMáy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trong,2. Xác định khả năng làm việc của động cơ ở 110% mức lưu lượng lớn nhất (đối với máy bơm thiết kế làm việc tại 01 điểm)2. Xác định khả năng làm việc của động cơ ở 110% mức lưu lượng lớn nhất (đối với máy bơm thiết kế làm việc tại 01 điểm)2. Xác định khả năng làm việc của động cơ ở 110% mức lưu lượng lớn nhất (đối với máy bơm thiết kế làm việc tại 01 điểm),Tốc độ vòng quay của động cơ không vượt quá 100% tốc độ vòng quay định mứcTốc độ vòng quay của động cơ không vượt quá 100% tốc độ vòng quay định mứcTốc độ vòng quay của động cơ không vượt quá 100% tốc độ vòng quay định mức,Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012; Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012; Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012; Đo thực tế tốc độ vòng quay tại điểm làm việc 110% lưu lượngĐo thực tế tốc độ vòng quay tại điểm làm việc 110% lưu lượngĐo thực tế tốc độ vòng quay tại điểm làm việc 110% lưu lượng,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118413.70.118413.70.11
2.1.22.1.22.1.2,Máy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trongMáy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trongMáy bơm ly tâm chữa cháy loại cố định dùng động cơ đốt trong,3. Độ kín của buồng bơm3. Độ kín của buồng bơm3. Độ kín của buồng bơm,Không xuất hiện rò rỉ tại áp suất thử trong thời gian một phút (thử nghiệm với áp suất tối đa khi đóng kín họng ra)Không xuất hiện rò rỉ tại áp suất thử trong thời gian một phút (thử nghiệm với áp suất tối đa khi đóng kín họng ra)Không xuất hiện rò rỉ tại áp suất thử trong thời gian một phút (thử nghiệm với áp suất tối đa khi đóng kín họng ra),"Kiểm tra trực quan:Kiểm tra trực quan:Kiểm tra trực quan:Khởi động và từ từ đóng họng ra của máy bơm, quan sát đồng hồ đo áp suất để chọn điểm làm việc có áp suất tối đa, duy trì máy bơm làm việc tại điểm đó và kiểm tra vỏ bơmKhởi động và từ từ đóng họng ra của máy bơm, quan sát đồng hồ đo áp suất để chọn điểm làm việc có áp suất tối đa, duy trì máy bơm làm việc tại điểm đó và kiểm tra vỏ bơmKhởi động và từ từ đóng họng ra của máy bơm, quan sát đồng hồ đo áp suất để chọn điểm làm việc có áp suất tối đa, duy trì máy bơm làm việc tại điểm đó và kiểm tra vỏ bơm","Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118413.70.118413.70.11
2.1.32.1.32.1.3,Bơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trong,"1. Kích thước, khối lượng cơ bản1. Kích thước, khối lượng cơ bản1. Kích thước, khối lượng cơ bản","5, 6.1.11 TCVN 12110: 2018; 5, 6.1.11 TCVN 12110: 2018; 5, 6.1.11 TCVN 12110: 2018; Kích thước tổng thể các chiều của bơm phải phù hợp thông số kỹ thuật do nhà sản xuất công bốKích thước tổng thể các chiều của bơm phải phù hợp thông số kỹ thuật do nhà sản xuất công bốKích thước tổng thể các chiều của bơm phải phù hợp thông số kỹ thuật do nhà sản xuất công bố","Kiểm tra kích thước các chiều bằng thước đo có độ chính xác đến 1mm; Kiểm tra kích thước các chiều bằng thước đo có độ chính xác đến 1mm; Kiểm tra kích thước các chiều bằng thước đo có độ chính xác đến 1mm; Kiểm tra kích thước, kích thước họng đẩy, họng hút bằng thước đo có sai số ± 0,1mm Kiểm tra kích thước, kích thước họng đẩy, họng hút bằng thước đo có sai số ± 0,1mm Kiểm tra kích thước, kích thước họng đẩy, họng hút bằng thước đo có sai số ± 0,1mm Kiểm tra khối lượng theo 7.2.4 TCVN 12110: 2018, sử dụng cân khối lượng có dải đo phù hợp, độ phân giải 0,5 kgKiểm tra khối lượng theo 7.2.4 TCVN 12110: 2018, sử dụng cân khối lượng có dải đo phù hợp, độ phân giảKiểm tra khối lượng theo 7.2.4 TCVN 12110: 2018, sử dụng cân khối lượng có dải đo phù hợp, độ phân giải 0,5 kgi 0,5 kg","Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118413.70.118413.70.11
2.1.32.1.32.1.3,Bơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trong,2. Yêu cầu chung2. Yêu cầu chung2. Yêu cầu chung,"6.1.2, 6.1.3, 6.1.4, 6.1.5, 6.1.6, 6.1.7, 6.1.8 , 6.1.9 TCVN 12110: 20186.1.2, 6.1.3, 6.1.2, 6.1.3, 6.1.4, 6.1.5, 6.1.6, 6.1.7, 6.1.8 , 6.1.9 TCVN 12110: 20186.1.4, 6.1.5, 6.1.6, 6.1.7, 6.1.8 , 6.1.9 TCVN 12110: 2018","7.2.1, 7.2.2 TCVN 12110: 20187.2.1, 7.2.2 TCVN 12110: 20187.2.1, 7.2.2 TCVN 12110: 2018","Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118413.70.118413.70.11
2.1.32.1.32.1.3,Bơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trong,"3. Lưu lượng, áp suất, tốc độ vòng quay của bơm3. Lưu lượng, áp suất, tốc độ vòng quay của bơm3. Lưu lượng, áp suất, tốc độ vòng quay của bơm",2.3 TCVN 4208: 2009 và Bảng 1 TCVN 12110: 20182.3 TCVN 4208: 2009 và Bảng 1 TCVN 12110: 20182.3 TCVN 4208: 2009 và Bảng 1 TCVN 12110: 2018,"Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012; Lắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hànLắp đặt máy bơm trên hệ thống thử nghiệm đảm bảo độ ổn định vận hành theo 5.4.2 TCVN 9222:2012; h theo 5.4.2 TCVN 9222:2012; Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010;Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010;Vận hành máy bơm, để máy bơm hoạt động ổn định và đo tại các điểm làm việc trên đường đặc tính theo 6.3.4.1 TCVN 8531:2010;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;Xác định lưu lượng và cột áp toàn phần theo 3.19 và 6.1.2 TCVN 9222:2012;","Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118413.70.118413.70.11
2.1.32.1.32.1.3,Bơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trongBơm ly tâm chữa cháy loại khiêng tay dùng động cơ đốt trong,4. Hệ thống nhiên liệu4. Hệ thống nhiên liệu4. Hệ thống nhiên liệu,6.2.2 TCVN 12110: 20186.2.2 TCVN 12110: 20186.2.2 TCVN 12110: 2018,7.2.5 TCVN 12110: 20187.2.5 TCVN 12110: 20187.2.5 TCVN 12110: 2018,"Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:Mẫu được lấy ngẫu nhiên tại lô phương tiện, số lượng mẫu được lấy như sau:+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu n ≤ 10 thì lấy 01 mẫu;+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 10 < n ≤ 20 thì lấy 02 mẫu+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 20 < n ≤ 100 thì lấy 03 mẫu;+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.+ Nếu n > 100 thì lấy 05 mẫu.",8413.70.118413.70.118413.70.11
