STT,"Thời gian công tác (Từ tháng, năm đến tháng, năm)",Đơn vị công tác/ Hoạt động độc lập (Ghi rõ tên đơn vị),Kê khai kinh nghiệm thực hiện công việc tiêu biểu,Ghi chú
1,,,1. Tên Dự án/công trình/hạng mục công trình: ........... Nhóm dự án/Cấp công trình: ......... Loại công trình: ............................. Địa điểm xây dựng công trình: Chủ đầu tư: ....................... Chức danh/Nội dung công việc thực hiện: ............................ 2. ....,
2,,,,
...,,,,
