STTSTTSTT,Loại công trìnhLoại công trìnhLoại công trình,Cấp công trình (1)Cấp công trình Cấp công trình (1)(1)
111,"Nhà, kết cấu dạng nhà; công trình nhiều tầng có sàn; công trình có kết cấu nhịp lớn dạng khungNhà, kết cấu dạng nhà; công trình nhiều tầng có sàn; công trình có kết cấu nhịp lớn dạng khungNhà, kết cấu dạng nhà; công trình nhiều tầng có sàn; công trình có kết cấu nhịp lớn dạng khung",Cấp đặc biệtCấp đặc biệtCấp đặc biệt
222,"Công trình có kết cấu dạng cột, trụ, thápCông trình có kết cấu dạng cột, trụ, thápCông trình có kết cấu dạng cột, trụ, tháp",Cấp I trở lênCấp I trở lênCấp I trở lên
333,"Sân vận động, sân thi đấu các môn thể thao có khán đài; nhà thi đấu (các môn thể thao)Sân vận động, sân thi đấu các môn thể thao có khán đài; nhà thi đấu (các môn thể thao)Sân vận động, sân thi đấu các môn thể thao có khán đài; nhà thi đấu (các môn thể thao)",Cấp I trở lênCấp I trở lênCấp I trở lên
