Quan điểm,Mục đích,Ví dụ về các sản phẩm chuyển giao
Quan điểm của chủ sở hữu tài sản,Để thiết lập và duy trì mục đích của tài sản hoặc dự án. Để đưa ra các quyết định kinh doanh chiến lược,Kế hoạch kinh doanh<br>Đánh giá danh mục tài sản chiến lược<br>Phân tích chi phí vòng đời
Quan điểm của người sử dụng tài sản,Để xác định các yêu cầu thực sự của người dùng và đảm bảo tài sản đúng chất lượng và năng lực.,Tóm tắt dự án<br>AIM<br>PIM<br>Tài liệu về sản phẩm
Quan điểm quản lý chuyển giao dự án hoặc tài sản,"Lập kế hoạch và tổ chức công việc, huy động các nguồn lực phù hợp, phối hợp và kiểm soát thực hiện.","Kế hoạch, ví dụ Kế hoạch thực hiện BIM<br>Sơ đồ tổ chức<br>Định nghĩa chức năng"
Quan điểm của xã hội,"Để đảm bảo lợi ích của cộng đồng được quan tâm trong suốt vòng đời của tài sản (lập kế hoạch, bàn giao và khai thác sử dụng).","Quyết định chính trị<br>Quy hoạch<br>Giấy phép xây dựng, chuyển nhượng"
