Loại cảng,Các yếu tố,Chỉ tiêu $m^{2}$/1m dài bến cảng
Cảng biển,&nbsp;&nbsp;\- Cầu cảng nhô ra,≥ 150
Cảng biển,&nbsp;&nbsp;\- Cầu cảng dọc theo bờ,≥ 300
Cảng thủy nội địa,&nbsp;&nbsp;\- Cảng công cộng,≥ 250
Cảng thủy nội địa,&nbsp;&nbsp;\- Cảng chuyên dùng,≥ 300
Bến thủy nội địa,&nbsp;&nbsp;\- Bến công cộng,≥ 100
Bến thủy nội địa,&nbsp;&nbsp;\- Bến chuyên dùng,≥ 100
