Loại đất,Chỉ tiêu sử dụng đất ($m^{2}$/người)
Đất xây dựng công trình nhà ở,25
"Đất xây dựng công trình công cộng, dịch vụ",5
Đất cho giao thông và hạ tầng kỹ thuật,5
Cây xanh công cộng,2
