Chỉ tiêu,Giai đoạn đầu,Giai đoạn dài hạn,,,,,,
Chỉ tiêu,Đô thị loại đặc biệt,Đô thị loại I,Đô thị loại II-III,Đô thị loại IV-V,Đô thị loại đặc biệt,Đô thị loại I,Đô thị loại II-III,Đô thị loại IV-V
1. Điện năng (KWh/người.năm),1 400,1 100,750,400,2 400,2 100,1 500,1000
2. Phụ tải (W/người),500,450,300,200,800,700,500,330
